Component,Category,Value ($/kW),Fixed charge rate (FCR) (real),Value ($/kW-yr),Net AEP (MWh/kW/yr),Value ($/MWh)
Turbine,Turbine,1700.0,0.0648,110.16,3.9853470096557273,27.641256767128073
Array System,Balance of System CapEx,222.05690695161033,0.0648,14.389287570464349,3.9853470096557273,3.6105482246845457
Export System,Balance of System CapEx,211.03577416729334,0.0648,13.675118166040608,3.9853470096557273,3.431349424004593
Substructure,Balance of System CapEx,1051.1827276666668,0.0648,68.11664075280001,3.9853470096557273,17.09177157917906
Mooring System,Balance of System CapEx,459.3545672136722,0.0648,29.76617595544596,3.9853470096557273,7.468904435003591
Offshore Substation,Balance of System CapEx,324.06195833333334,0.0648,20.9992149,3.9853470096557273,5.269105763970603
Array System Installation,Balance of System CapEx,449.3196328930365,0.0648,29.115912211468764,3.9853470096557273,7.305740790181263
Export System Installation,Balance of System CapEx,141.23032655393735,0.0648,9.15172516069514,3.9853470096557273,2.2963433644604283
Substructure Installation,Balance of System CapEx,190.44899246872987,0.0648,12.341094711973694,3.9853470096557273,3.0966173540405895
Mooring System Installation,Balance of System CapEx,153.38436699677618,0.0648,9.939306981391097,3.9853470096557273,2.493962748365468
Offshore Substation Installation,Balance of System CapEx,14.786675126619851,0.0648,0.9581765482049663,3.9853470096557273,0.2404248728864737
Project,Balance of System CapEx,252.08333333333334,0.0648,16.335,3.9853470096557273,4.098764790223648
Soft,Financial CapEx,543.16,0.0648,35.196768,3.9853470096557273,8.83154413272546
Operations,OpEx,NA,0.0648,6.003913894324853,3.9853470096557273,1.5064971456132998
Port Fees,OpEx,NA,0.0648,13.5,3.9853470096557273,3.387408917540205
Equipment Cost,OpEx,NA,0.0648,51.83194113775029,3.9853470096557273,13.005628120254395
Materials Cost,OpEx,NA,0.0648,3.4388066130289277,3.9853470096557273,0.8628625323459569
