Component,Category,Value ($/kW),Fixed charge rate (FCR) (real),Value ($/kW-yr),Net AEP (MWh/kW/yr),Value ($/MWh)
Turbine,Turbine,1700.0,0.0648,110.16,3.672654640255627,29.994652585229893
Array System,Balance of System CapEx,185.32205952171284,0.0648,12.008869457006991,3.672654640255627,3.2698063480782773
Export System,Balance of System CapEx,279.4276,0.0648,18.106908479999998,3.672654640255627,4.930196343955637
Offshore Substation,Balance of System CapEx,324.06195833333334,0.0648,20.9992149,3.672654640255627,5.717721091939752
Scour Protection,Balance of System CapEx,8.91,0.0648,0.577368,3.672654640255627,0.1572072673731755
Substructure,Balance of System CapEx,404.78115055959654,0.0648,26.229818556261854,3.672654640255627,7.1419235200498425
Array System Installation,Balance of System CapEx,216.12755467074652,0.0648,14.005065542664374,3.672654640255627,3.8133358332025424
Export System Installation,Balance of System CapEx,53.015687813445474,0.0648,3.4354165703112667,3.672654640255627,0.9354041985478254
Offshore Substation Installation,Balance of System CapEx,9.234100203526387,0.0648,0.5983696931885099,3.672654640255627,0.16292566325998506
Scour Protection Installation,Balance of System CapEx,48.62446790534842,0.0648,3.1508655202665774,3.672654640255627,0.8579258952721099
Substructure Installation,Balance of System CapEx,57.83324903522482,0.0648,3.747594537482568,3.672654640255627,1.0204048309921472
Turbine Installation,Balance of System CapEx,98.27873108247792,0.0648,6.368461774144569,3.672654640255627,1.7340214090212704
Project,Balance of System CapEx,252.08333333333334,0.0648,16.335,3.672654640255627,4.447736474035315
Soft,Financial CapEx,543.16,0.0648,35.196768,3.672654640255627,9.583467940113804
Operations,OpEx,NA,0.0648,6.004696673189822,3.672654640255627,1.6349744970226439
Port Fees,OpEx,NA,0.0648,0.56,3.672654640255627,0.15247826296050057
Equipment Cost,OpEx,NA,0.0648,53.77806296885917,3.672654640255627,14.642831476557259
Materials Cost,OpEx,NA,0.0648,1.390868571428468,3.672654640255627,0.3787093281745816
