CapEx Component,CapEx Category,Value ($/kW),Fixed charge rate (FCR) (real),Value ($/kW-yr),Net AEP (MWh/kW/yr),Value ($/MWh)
Turbine,Turbine,1769.87,0.0648,114.687576,3.34632,34.27274618
Array System,Balance of System CapEx,301.0294505,0.0648,19.5067084,3.34632,5.82930156
Export System,Balance of System CapEx,171.2503086,0.0648,11.09702,3.34632,3.316186139
Offshore Substation,Balance of System CapEx,242.982797,0.0648,15.74528525,3.34632,4.705253905
Substructure,Balance of System CapEx,1540.540592,0.0648,99.82703037,3.34632,29.83188409
Mooring System,Balance of System CapEx,651.094056,0.0648,42.19089483,3.34632,12.60814711
Installation,Balance of System CapEx,1057.642782,0.0648,68.53525229,3.34632,20.48078256
Project,Balance of System CapEx,123.1965663,0.0648,7.983137498,3.34632,2.38564677
Lease Price,Balance of System CapEx,166.6666667,0.0648,10.8,3.34632,3.227425949
Construction Insurance,Financial CapEx,73.62748564,0.0648,4.771061069,3.34632,1.425763546
Decommissioning,Financial CapEx,184.174246,0.0648,11.93449114,3.34632,3.566452444
Construction Financing,Financial CapEx,318.6752058,0.0648,20.65015333,3.34632,6.171003769
Procurement Contingency,Financial CapEx,306.7460129,0.0648,19.87714163,3.34632,5.940000249
Install. Contingency ,Financial CapEx,368.3484921,0.0648,23.86898229,3.34632,7.132904889
Project Completion ,Financial CapEx,73.62748564,0.0648,4.771061069,3.34632,1.425763546
Labor (technicians),OpEx,,,4.952,3.34632,1.479834565
Materials,OpEx,,,3.714,3.34632,1.109875923
Equipment (vessels),OpEx,,,60.662,3.34632,18.12797342
Management administration,OpEx,,,2.476,3.34632,0.739917282
Port fees,OpEx,,,17.332,3.34632,5.179420976
Insurance,OpEx,,,18.57,3.34632,5.549379617
