CapEx Component,CapEx Category,Value ($/kW),Color
Wind Turbine Warranty,Soft Costs,129.5778344,m
Contingency,Soft Costs,53.65042142,rebeccapurple
Construction Finance,Soft Costs,111.384958,darkviolet
Wind Turbine Transport,Balance of System,194.18111,deepskyblue
Electrical Infrastructure,Balance of System,71.84329788,darkturquoise
Assembly and Installation,Balance of System,100.2464622,dodgerblue
Site Access and Staging,Balance of System,46.96732394,lightseagreen
Foundation,Balance of System,119.5531882,darkblue
Project Management,Balance of System,13.55183655,steelblue
Eng. and Development,Balance of System,35.82882814,lightskyblue
Tower,Turbine,276.0490541,yellowgreen
Nacelle,Turbine,477.2845448,olivedrab
Rotor,Turbine,337.4964226,darkolivegreen
